"STATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","2015-08-03","12.75","0.00","0.0","78","90","68",,,"    1",,,,,
"USW00014739","2015-08-04","9.40","0.49","0.0","76","89","66","    1","    1","    1",,"    1",,,
"USW00014739","2015-08-05","10.51","0.00","0.0","75","85","65",,,,,,,,
"USW00014739","2015-08-06","9.17","0.00","0.0","74","82","65",,,,,,,,
"USW00014739","2015-08-07","7.83","0.00","0.0","70","73","64",,,,,,,,
"USW00014739","2015-08-08","6.26","0.00","0.0","67","76","61",,,,,,,,
"USW00014739","2015-08-09","8.72","0.00","0.0","66","73","62",,,,,,,,
"USW00014739","2015-08-10","10.29","0.00","0.0","70","83","63",,,,,,,,
"USW00014739","2015-08-11","9.62","0.83","0.0","68","72","64","    1",,,,,,,
"USW00014739","2015-08-12","8.95","0.00","0.0","75","85","68",,,,,,,,
"USW00014739","2015-08-13","8.05","0.00","0.0","73","82","66",,,,,,,,
"USW00014739","2015-08-14","9.17","0.00","0.0","75","86","63",,,,,,,,
"USW00014739","2015-08-15","7.61","0.08","0.0","76","91","68",,,"    1",,,,,
"USW00014739","2015-08-16","6.71","0.00","0.0","75","90","67",,,,,,,,
"USW00014739","2015-08-17","7.83","0.00","0.0","80","91","71",,,,,,,,
"USW00014739","2015-08-18","8.05","0.14","0.0","78","87","71",,,"    1",,,,"    1",
"USW00014739","2015-08-19","8.72","0.00","0.0","78","88","71",,,,,,,,
"USW00014739","2015-08-20","10.74","0.00","0.0","73","78","68","    1",,,,,,,
"USW00014739","2015-08-21","5.82","0.63","0.0","72","83","67","    1","    1","    1",,,,"    1",
"USW00014739","2015-08-22","6.93","0.00","0.0","71","73","67","    1",,,,,,,
"USW00014739","2015-08-23","8.05","0.02","0.0","68","71","67","    1",,,,,,,
"USW00014739","2015-08-24","6.04","0.00","0.0","71","75","68","    1",,,,,,,
"USW00014739","2015-08-25","8.50","0.00","0.0","71","81","67","    1","    1",,,,,,
"USW00014739","2015-08-26","7.83","0.00","0.0","76","85","69","    1",,,,,,,
"USW00014739","2015-08-27","10.07","0.00","0.0","74","82","65",,,,,,,,
"USW00014739","2015-08-28","7.61","0.00","0.0","70","75","64",,,,,,,,
"USW00014739","2015-08-29","7.38","0.00","0.0","72","82","63",,,,,,,,
"USW00014739","2015-08-30","8.95","0.00","0.0","77","88","69",,,,,,,,
"USW00014739","2015-08-31","11.18","0.00","0.0","80","90","71",,,,,,,,
"USW00014739","2015-09-01","9.40","0.00","0.0","76","79","69",,,,,,,,
"USW00014739","2015-09-02","9.17","0.00","0.0","77","91","66",,,,,,,,
"USW00014739","2015-09-03","5.59","0.01","0.0","76","82","70","    1",,"    1",,,,"    1",
"USW00014739","2015-09-04","10.74","0.00","0.0","69","72","62","    1",,,,,,,
"USW00014739","2015-09-05","7.16","0.00","0.0","65","73","58",,,,,,,,
"USW00014739","2015-09-06","9.62","0.00","0.0","70","82","61",,,,,,,,
"USW00014739","2015-09-07","11.86","0.00","0.0","77","93","66",,,,,,,,
"USW00014739","2015-09-08","7.38","0.20","0.0","81","96","72",,,,,,,"    1",
"USW00014739","2015-09-09","12.75","0.00","0.0","80","93","72",,,,,,,,
"USW00014739","2015-09-10","10.96","0.17","0.0","74","77","64","    1",,,,,,,
"USW00014739","2015-09-11","9.84","0.66","0.0","65","73","63","    1",,,,,,,
"USW00014739","2015-09-12","6.49","0.01","0.0","66","71","60","    1",,,,,,,
"USW00014739","2015-09-13","9.62","0.38","0.0","64","66","63","    1",,,,,,,
"USW00014739","2015-09-14","15.21","0.00","0.0","65","72","57",,,,,,,,
"USW00014739","2015-09-15","10.74","0.00","0.0","71","84","62",,,,,,,,
"USW00014739","2015-09-16","6.93","0.00","0.0","73","81","65",,,,,,,,
"USW00014739","2015-09-17","7.38","0.00","0.0","76","89","64",,,,,,,,
"USW00014739","2015-09-18","7.61","0.00","0.0","75","85","65",,,,,,,,
"USW00014739","2015-09-19","9.62","0.00","0.0","70","79","62","    1",,,,,,,
"USW00014739","2015-09-20","11.63","0.00","0.0","71","75","57",,,,,,,,
"USW00014739","2015-09-21","10.74","0.00","0.0","60","66","53",,,,,,,,
"USW00014739","2015-09-22","9.40","0.00","0.0","63","68","56",,,,,,,,
"USW00014739","2015-09-23","5.59","0.00","0.0","61","68","54",,,,,,,,
"USW00014739","2015-09-24","8.50","0.00","0.0","65","74","58",,,,,,,,
"USW00014739","2015-09-25","8.72","0.00","0.0","61","66","55",,,,,,,,
"USW00014739","2015-09-26","9.62","0.00","0.0","58","63","50",,,,,,,,
"USW00014739","2015-09-27","6.93","0.00","0.0","56","64","48",,,,,,,,
"USW00014739","2015-09-28","6.71","0.00","0.0","65","78","56",,,,,,,,
"USW00014739","2015-09-29","9.17","0.04","0.0","72","84","65","    1","    1",,,,,,
"USW00014739","2015-09-30","12.97","2.46","0.0","71","78","57","    1",,,,,,,
"USW00014739","2015-10-01","17.22","0.00","0.0","58","59","54",,,,,,,,
"USW00014739","2015-10-02","20.36","0.08","0.0","53","54","50",,,,,,,,
"USW00014739","2015-10-03","22.37","0.01","0.0","52","54","49","    1",,,,,,,
"USW00014739","2015-10-04","18.12","0.00","0.0","54","56","51",,,,,,,,
"USW00014739","2015-10-05","9.17","0.00","0.0","54","61","48",,,,,,,,
"USW00014739","2015-10-06","5.59","0.00","0.0","55","64","48",,,,,,,,
"USW00014739","2015-10-07","7.16","0.00","0.0","60","72","52",,,,,,,,
"USW00014739","2015-10-08","8.72","0.00","0.0","58","62","51",,,,,,,,
"USW00014739","2015-10-09","14.76","0.34","0.0","60","72","52","    1",,,,,,,
"USW00014739","2015-10-10","9.84","0.00","0.0","57","61","48",,,,,,,,
"USW00014739","2015-10-11","13.87","0.00","0.0","56","68","48",,,,,,,,
"USW00014739","2015-10-12","7.61","0.00","0.0","62","76","51",,,,,,,,
"USW00014739","2015-10-13","7.61","0.12","0.0","61","72","55","    1","    1",,,,,,
"USW00014739","2015-10-14","12.53","0.00","0.0","63","68","51",,,,,,,,
